atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge
0,6,0,3,4,0,0,2,1,1,12.011,0.1592489388377235
1,6,0,2,4,0,0,0,0,2,12.011,0.09569907683484018
2,8,0,2,4,0,0,0,0,0,15.999,-0.3143765936084576
3,15,0,4,4,0,0,0,1,0,30.974,0.267712870347557
4,8,0,1,3,0,0,0,0,0,15.999,-0.2763272628193479
5,8,-1,1,4,0,0,0,0,0,15.999,-0.7561173385700664
6,8,0,2,4,0,0,0,0,0,15.999,-0.3124806532908261
7,6,0,2,4,0,0,0,0,2,12.011,0.10428433404346389
8,6,0,2,4,0,0,0,0,2,12.011,0.10229210370753672
9,7,1,4,4,0,0,0,0,0,14.007,-0.32899274348262864
10,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802
11,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802
12,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802
13,8,0,2,3,0,0,0,0,0,15.999,-0.45622360756917085
14,6,0,3,3,0,0,0,0,0,12.011,0.30576578461390846
15,6,0,2,4,0,0,0,0,2,12.011,0.04551623824789105
16,6,0,2,4,0,0,0,0,2,12.011,-0.04278311760951142
17,6,0,2,4,0,0,0,0,2,12.011,-0.05274782226163432
18,6,0,2,4,0,0,0,0,2,12.011,-0.0532796220319439
19,6,0,2,4,0,0,0,0,2,12.011,-0.053010843096471874
20,6,0,2,4,0,0,0,0,2,12.011,-0.04982501542606592
21,6,0,2,4,0,0,0,0,2,12.011,-0.03507346738461365
22,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614781
23,6,0,2,3,0,0,0,0,1,12.011,-0.08853928216145976
24,6,0,2,4,0,0,0,0,2,12.011,-0.03507346876911375
25,6,0,2,4,0,0,0,0,2,12.011,-0.04982518931521081
26,6,0,2,4,0,0,0,0,2,12.011,-0.05302112295305338
27,6,0,2,4,0,0,0,0,2,12.011,-0.05355769374956196
28,6,0,2,4,0,0,0,0,2,12.011,-0.056171482041511185
29,6,0,1,4,0,0,0,0,3,12.011,-0.06538238175449311
30,8,0,1,3,0,0,0,0,0,15.999,-0.2522843370963475
31,6,0,2,4,0,0,0,0,2,12.011,0.12655687064350438
32,8,0,2,3,0,0,0,0,0,15.999,-0.4975682003264012
33,6,0,2,3,0,0,0,0,1,12.011,0.0790670855372199
34,6,0,2,3,0,0,0,0,1,12.011,-0.04984101624423636
35,6,0,2,4,0,0,0,0,2,12.011,-0.031756500316899916
36,6,0,2,4,0,0,0,0,2,12.011,-0.04970090258298738
37,6,0,2,4,0,0,0,0,2,12.011,-0.053008963417219064
38,6,0,2,4,0,0,0,0,2,12.011,-0.05329500718219151
39,6,0,2,4,0,0,0,0,2,12.011,-0.05330578769317132
40,6,0,2,4,0,0,0,0,2,12.011,-0.05330597131921655
41,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278352274
42,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278910546
43,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727891157
44,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278911572
45,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278912536
46,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727943694
47,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466
48,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844
49,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505
50,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206
51,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945
52,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266
