datetime,label,additional_layers,pocket_attention,exclusion_set,number_of_parameters,third_layers_in_mlps,cross_attention,bilinear_fusion,adversarial_grl,adv_weight,adv_lambda,adv_deep,adv_lipid,adv_protein,adv_lambda_ramp,adv_lambda_ramp_by_fit,dann_family,dann_weight,dann_lambda,dann_class_conditional,dann_lambda_ramp,dann_lambda_ramp_by_fit,lipid_path_handicap,lipid_path_weight,lipid_path_weight_ramp_epochs,balanced_lipid_classes,fast_attention,protein_self_attention,lipid_self_attention,double_attention,single_gat_layer,geometric_transformer,geometric_ipa_chunk_size,transformer_conv,gine_conv,protein_gine_residual,attention_residual_gates,protein_gat_residual,structured_sparsity,sparsity_mode,sparsity_lambda,target_sparsity,sparsity_gate_ffn,sparsity_gate_heads,sparsity_gate_blocks,sparsity_gate_third_layer,sparsity_gate_cross_attention,gate_all_mlp_hidden,gate_all_mlp_layers,no_ffns,mlp_widths,bilevel,bilevel_dropout,bilevel_lr,concrete_dropout_reg,concrete_dropout_weight_reg,protein_disable_pre_sa_mlp,protein_disable_post_sa_mlp,lipid_disable_post_sa_mlp,protein_gat_graph_norm,protein_output_graph_norm,lipid_gat_graph_norm,lipid_output_graph_norm,m,final_m,dropout,final_dropout,lr,weight_decay,hiddim,ep,checkpoint_window,seed,excluded_groups,excluded_subgroups,balance_excluded_group_negatives,balance_negatives_by_family,balanced_proteins,balanced_batches,test_group,cold_split,lipid_only,protein_only,batch,num_workers,lipid_fragments_treatment,protein_pooling,lipid_concat,lipid_random_choice,lipid_fragments_mask,lipid_first_fragment_only,lipid_isomers,lipid_graph_isomers,ordinary_prot_pooling,prot_attention_pos_bias,prot_pooling_by_pockets,prot_pos_bias_per_head,attention_by_pockets,pocket_attention_sites,pocket_attention_self,pocket_attention_cross,protein_pockets_only,protein_residue_subsample,proteinmpnn_replace_esm3,proteinmpnn_embedding_dim,esmif1_replace_esm3,esmif1_embedding_dim,saprot_replace_esm3,saprot_embedding_dim,protein_extra_node_features,pocket_descriptors,pocket_descriptor_count,protein_node_feature_count,bidirectional_edges,tanimoto_weight,class_weights,protein_group_weight,protein_class_weight,protein_class_sqrt_weight,grab_loss,pu_loss,disable_early_stopping,testmode,pu_rho,pu_unlabeled_positive_fraction,pu_beta,pu_gamma,pu_tau,pu_loss_cap,focal_loss,focal_gamma,logit_adjustment,logit_adjustment_tau,type_opt,plmon,plm_sequential_compression,plm_compression_dim,plm_compression_dims,buryon,loss_type,pool_type,attention_pooling,attention_pooling_pocket_bias,use_esm3_v2_embeddings,rnabang_replace_esm3,rnabang_full_protein_encoder,rnabang_with_esm3,rnabang_residual_with_esm3,rnabang_frozen_node_adapter,rnabang_residue_type_embedding,rnabang_edge_current,rnabang_edge_topk_by_area,rnabang_edge_deepsets,rnabang_edge_pna,rnabang_edge_quantiles,rnabang_edge_set_transformer,rnabang_embedding_dim,act_fn,HEADS,lr_warmup_cosine,lr_warmup_epochs,lr_min_factor,swa,swa_start_frac,swa_lr,save_checkpoint,save_model,save_dynamics,save_model_in_dynamics,training_duration_sec,epochs_completed,checkpoint_epoch,checkpoint_valid_balanced_accuracy,checkpoint_rolling_valid_balanced_accuracy,max_valid_balanced_accuracy_epoch,max_valid_balanced_accuracy,best_valid_F1,final_train_balanced_accuracy,final_valid_balanced_accuracy,checkpoint_to_final_drop,mean_valid_balanced_accuracy,auc_valid_balanced_accuracy,valid_balanced_accuracy_std,min_train_loss,final_train_loss,min_valid_loss,final_valid_loss,train_loss_reduction,valid_loss_reduction,epochs_to_checkpoint,epochs_since_checkpoint,mean_train_valid_gap,max_train_valid_gap,overfitting_onset_epoch,overfitting_epochs,nan_epoch_count,collapse_epoch_count,converged,run_status,training_sec_per_epoch,time_to_checkpoint_sec,max_valid_epoch_F1,max_valid_epoch_loss,max_valid_epoch_sensitivity,max_valid_epoch_specificity,max_valid_epoch_train_valid_gap,max_valid_epoch_centered_window_balanced_accuracy_mean,top5_valid_balanced_accuracy_mean,peak_width_001,last10_valid_balanced_accuracy_mean,last10_valid_balanced_accuracy_std,post_best_balanced_accuracy_slope,valid_balanced_accuracy_oscillation,max_valid_epoch_min_class_recall,max_valid_epoch_class_recall_gap,max_valid_epoch_gmean_recall,collapse_fraction,discovered_widths,discovered_dropout,total,real_positive,real_negative,label_positive_fraction,predicted_positive,predicted_negative,prediction_positive_fraction,TP,FP,TN,FN,accuracy,sensitivity,precision,specificity,IoU,FAR,F1,balanced_accuracy,loss,tb_status,tb_train_points,tb_valid_points,tb_train_last_accuracy,tb_train_last_balanced_accuracy,tb_train_last_F1,tb_train_last_loss,tb_valid_last_accuracy,tb_valid_last_balanced_accuracy,tb_valid_last_F1,tb_valid_last_loss,tb_valid_best_balanced_accuracy,tb_valid_min_loss,tb_last_balanced_accuracy_gap,warnings
2026-05-25 15:30:12,,,,groups_START_subgroups_PITPNA,2854540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,111,62,0.641618,173,0,1.000000,111,62,0,0,0.641618,1.000000,0.641618,0.000000,0.641618,1.000000,0.781690,0.500000,0.673312,ok,494,87,1.000000,0.500000,1.000000,0.331016,0.500000,0.500000,0.666667,0.696910,0.500000,0.614569,0.000000,constant_positive;class_imbalance>=1.5
2026-05-25 15:38:50,,,,groups_START_subgroups_PITPNA,2854540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,111,62,0.641618,173,0,1.000000,111,62,0,0,0.641618,1.000000,0.641618,0.000000,0.641618,1.000000,0.781690,0.500000,0.660979,ok,62,11,0.272727,0.500000,0.428571,0.431244,0.571429,0.500000,0.727273,0.682963,0.500000,0.626918,0.000000,constant_positive;class_imbalance>=1.5
2026-05-25 15:46:22,,,,groups_START_subgroups_PITPNA,2854540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.481767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,111,62,0.641618,7,166,0.040462,1,6,56,110,0.329480,0.009009,0.142857,0.903226,0.008547,0.096774,0.016949,0.456117,0.695543,ok,31,6,0.407407,0.529412,0.111111,0.298503,0.428571,0.428571,0.000000,0.686905,0.578947,0.686905,0.100841,class_imbalance>=1.5
2026-05-26 10:01:14,,,,subgroups_RLBP1-SEC14L2-STARD11,2854540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,56,23,0.708861,79,0,1.000000,56,23,0,0,0.708861,1.000000,0.708861,0.000000,0.708861,1.000000,0.829630,0.500000,0.580752,ok,37,3,0.560000,0.596491,0.645161,0.161807,0.714286,0.500000,0.833333,0.630073,0.500000,0.512639,0.096491,constant_positive;class_imbalance>=1.5
2026-05-26 11:01:12,,,,subgroups_RLBP1-GLTPD1,3251086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,62,15,0.805195,77,0,1.000000,62,15,0,0,0.805195,1.000000,0.805195,0.000000,0.805195,1.000000,0.892086,0.500000,0.672378,ok,37,3,0.413793,0.500000,0.585366,0.152817,0.833333,0.500000,0.909091,0.670397,0.500000,0.670397,0.000000,constant_positive;class_imbalance>=1.5
2026-05-26 11:26:26,,,,subgroups_RLBP1-GLTPD1,3252110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,62,15,0.805195,77,0,1.000000,62,15,0,0,0.805195,1.000000,0.805195,0.000000,0.805195,1.000000,0.892086,0.500000,0.543966,ok,37,3,0.655172,0.616162,0.736842,0.442111,0.666667,0.500000,0.800000,0.636500,0.500000,0.518169,0.116162,constant_positive;class_imbalance>=1.5
2026-05-26 12:47:16,,,,subgroups_RLBP1-GLTPD1,3252112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,62,15,0.805195,77,0,1.000000,62,15,0,0,0.805195,1.000000,0.805195,0.000000,0.805195,1.000000,0.892086,0.500000,0.634323,ok,37,3,0.448276,0.500000,0.619048,0.488611,0.833333,0.500000,0.909091,0.628376,0.500000,0.628376,0.000000,constant_positive;class_imbalance>=1.5
2026-05-26 13:25:14,,,,subgroups_RLBP1-GLTPD1,3252112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,62,15,0.805195,77,0,1.000000,62,15,0,0,0.805195,1.000000,0.805195,0.000000,0.805195,1.000000,0.892086,0.500000,0.570566,ok,37,3,0.655172,0.632353,0.722222,0.455849,0.666667,0.500000,0.800000,0.640821,0.500000,0.519368,0.132353,constant_positive;class_imbalance>=1.5
2026-05-26 13:47:44,,,,subgroups_RLBP1-GLTPD1,3252112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,62,15,0.805195,0,77,0.000000,0,0,15,62,0.194805,0.000000,,1.000000,0.000000,0.000000,0.000000,0.500000,0.705952,ok,37,3,0.482759,0.500000,0.000000,0.694517,0.083333,0.500000,0.000000,0.710592,0.500000,0.702423,0.000000,undefined:precision;constant_negative;class_imbalance>=1.5
2026-06-08 14:28:59,,0,0,random,29894,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,0.001,0.0,8,1,,0,[],[],,,,,,,,,64,0,0,0,1,0,0,,0,,1,0,0,,,,,,,,,,,,,,,,,,,1,1,0,,,0,,,,,,,,,,,,,,0,1,,,,1,1,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,291.031990,1,1,0.560000,0.560000,1,0.560000,0.333333,0.495113,0.560000,0.000000,0.560000,0.560000,0.000000,0.696060,0.696060,0.691878,0.691878,0.000000,0.000000,1,0,-0.064887,-0.064887,,0,0,0,0,complete,291.031990,291.031990,0.333333,0.691878,0.220000,0.900000,-0.064887,0.560000,0.560000,1,0.560000,0.000000,,0.000000,0.220000,0.680000,0.444972,0.000000,,,100,58,42,0.580000,18,82,0.180000,15,3,39,43,0.540000,0.258621,0.833333,0.928571,0.245902,0.071429,0.394737,0.593596,0.692291,ok,1,1,0.444444,0.495113,0.224138,0.696060,0.560000,0.560000,0.333333,0.691878,0.560000,0.691878,-0.064887,undefined:overfitting_onset_epoch
