atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge
0,6,0,3,4,0,0,1,1,1,12.011,0.159378452501771
1,8,0,2,3,0,0,0,0,0,15.999,-0.456221205124644
2,6,0,3,3,0,0,0,0,0,12.011,0.30576580179423873
3,6,0,2,4,0,0,0,0,2,12.011,0.04551623832203509
4,6,0,2,4,0,0,0,0,2,12.011,-0.04278311760937017
5,6,0,2,4,0,0,0,0,2,12.011,-0.05274782226163419
6,6,0,2,4,0,0,0,0,2,12.011,-0.0532796220319439
7,6,0,2,4,0,0,0,0,2,12.011,-0.053010843096471874
8,6,0,2,4,0,0,0,0,2,12.011,-0.04982501542606592
9,6,0,2,4,0,0,0,0,2,12.011,-0.03507346738461364
10,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215613828
11,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614884
12,6,0,2,4,0,0,0,0,2,12.011,-0.0350734673904721
13,6,0,2,4,0,0,0,0,2,12.011,-0.049825017035991674
14,6,0,2,4,0,0,0,0,2,12.011,-0.053011064901440766
15,6,0,2,4,0,0,0,0,2,12.011,-0.053295196138035676
16,6,0,2,4,0,0,0,0,2,12.011,-0.053315847237370526
17,6,0,2,4,0,0,0,0,2,12.011,-0.05356864125486327
18,6,0,2,4,0,0,0,0,2,12.011,-0.056171667057600655
19,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322278243
20,8,0,1,3,0,0,0,0,0,15.999,-0.25228433702405273
21,6,0,2,4,0,0,0,0,2,12.011,0.09906365101666756
22,8,0,2,4,0,0,0,0,0,15.999,-0.28295125260132226
23,15,0,4,4,0,0,0,1,0,30.974,0.4719078357569224
24,8,0,1,3,0,0,0,0,0,15.999,-0.22811485787137528
25,8,0,1,4,0,0,0,0,1,15.999,-0.30249272807288763
26,8,0,2,4,0,0,0,0,0,15.999,-0.2841830655252967
27,6,0,2,4,0,0,0,0,2,12.011,0.08680003259222219
28,6,0,3,4,0,0,1,1,1,12.011,0.10096203264118436
29,8,0,1,4,0,0,0,0,1,15.999,-0.3883006076531472
30,6,0,2,4,0,0,0,0,2,12.011,0.07136047919864114
31,8,0,1,4,0,0,0,0,1,15.999,-0.3935928597498911
32,6,0,2,4,0,0,0,0,2,12.011,0.12655923911124892
33,8,0,2,3,0,0,0,0,0,15.999,-0.49756818002521475
34,6,0,2,3,0,0,0,0,1,12.011,0.0790670856483863
35,6,0,2,3,0,0,0,0,1,12.011,-0.049841016244015504
36,6,0,2,4,0,0,0,0,2,12.011,-0.031756500311298286
37,6,0,2,4,0,0,0,0,2,12.011,-0.04970090111306505
38,6,0,2,4,0,0,0,0,2,12.011,-0.05300877838485101
39,6,0,2,4,0,0,0,0,2,12.011,-0.05328405825896747
40,6,0,2,4,0,0,0,0,2,12.011,-0.0530108784288739
41,6,0,2,4,0,0,0,0,2,12.011,-0.04982501556069841
42,6,0,2,4,0,0,0,0,2,12.011,-0.035073467384870716
43,6,0,2,3,0,0,0,0,1,12.011,-0.08853928216134349
44,6,0,2,3,0,0,0,0,1,12.011,-0.08853928355034023
45,6,0,2,4,0,0,0,0,2,12.011,-0.03507363987292093
46,6,0,2,4,0,0,0,0,2,12.011,-0.04983507642452942
47,6,0,2,4,0,0,0,0,2,12.011,-0.053273730445580876
48,6,0,2,4,0,0,0,0,2,12.011,-0.056160718143793045
49,6,0,1,4,0,0,0,0,3,12.011,-0.06538219831715049
