atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge
0,6,0,3,4,0,0,1,1,1,12.011,0.10096203264118436
1,8,0,1,4,0,0,0,0,1,15.999,-0.3883006076531472
2,6,0,2,4,0,0,0,0,2,12.011,0.07136047919864114
3,8,0,1,4,0,0,0,0,1,15.999,-0.3935928597498911
4,6,0,2,4,0,0,0,0,2,12.011,0.08680003259222231
5,8,0,2,4,0,0,0,0,0,15.999,-0.2841830655251979
6,15,0,4,4,0,0,0,1,0,30.974,0.47190783583628737
7,8,0,2,4,0,0,0,0,0,15.999,-0.2829512293933157
8,6,0,2,4,0,0,0,0,2,12.011,0.09906639760350122
9,6,0,3,4,0,0,2,1,1,12.011,0.15953034102602376
10,8,0,2,3,0,0,0,0,0,15.999,-0.4562184203612838
11,6,0,3,3,0,0,0,0,0,12.011,0.30576582160091964
12,6,0,2,4,0,0,0,0,2,12.011,0.045516238407291715
13,6,0,2,4,0,0,0,0,2,12.011,-0.042783117609207943
14,6,0,2,4,0,0,0,0,2,12.011,-0.05274782226163406
15,6,0,2,4,0,0,0,0,2,12.011,-0.0532796220319439
16,6,0,2,4,0,0,0,0,2,12.011,-0.053010843096471874
17,6,0,2,4,0,0,0,0,2,12.011,-0.04982501542606592
18,6,0,2,4,0,0,0,0,2,12.011,-0.03507346738462326
19,6,0,2,3,0,0,0,0,1,12.011,-0.08853928216134328
20,6,0,2,3,0,0,0,0,1,12.011,-0.08853928355034023
21,6,0,2,4,0,0,0,0,2,12.011,-0.03507363987292093
22,6,0,2,4,0,0,0,0,2,12.011,-0.04983507642452942
23,6,0,2,4,0,0,0,0,2,12.011,-0.053273730445580876
24,6,0,2,4,0,0,0,0,2,12.011,-0.056160718143793045
25,6,0,1,4,0,0,0,0,3,12.011,-0.06538219831715049
26,8,0,1,3,0,0,0,0,0,15.999,-0.25228433694092306
27,6,0,2,4,0,0,0,0,2,12.011,0.1305566763232179
28,8,0,2,3,0,0,0,0,0,15.999,-0.46162817343596213
29,6,0,3,3,0,0,0,0,0,12.011,0.30541557304048067
30,6,0,2,4,0,0,0,0,2,12.011,0.045503081092782956
31,6,0,2,4,0,0,0,0,2,12.011,-0.04278333650097684
32,6,0,2,4,0,0,0,0,2,12.011,-0.0527478239612063
33,6,0,2,4,0,0,0,0,2,12.011,-0.05327962203832768
34,6,0,2,4,0,0,0,0,2,12.011,-0.053010843096483504
35,6,0,2,4,0,0,0,0,2,12.011,-0.049825015426065926
36,6,0,2,4,0,0,0,0,2,12.011,-0.03507346738461364
37,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215613828
38,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215615858
39,6,0,2,4,0,0,0,0,2,12.011,-0.03507346739572399
40,6,0,2,4,0,0,0,0,2,12.011,-0.049825018407587185
41,6,0,2,4,0,0,0,0,2,12.011,-0.05301123579864953
42,6,0,2,4,0,0,0,0,2,12.011,-0.05330508334302209
43,6,0,2,4,0,0,0,0,2,12.011,-0.05356845769210082
44,6,0,2,4,0,0,0,0,2,12.011,-0.05617166559353792
45,6,0,1,4,0,0,0,0,3,12.011,-0.06538238321720632
46,8,0,1,3,0,0,0,0,0,15.999,-0.25229764155829826
47,8,0,1,3,0,0,0,0,0,15.999,-0.22811485787121957
48,8,0,1,4,0,0,0,0,1,15.999,-0.3024927280727888
