atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge
0,6,0,3,4,0,0,2,1,1,12.011,0.08177399586167487
1,6,0,2,4,0,0,0,0,2,12.011,0.07299893911794723
2,8,0,2,4,0,0,0,0,0,15.999,-0.34762037393435286
3,6,0,3,4,0,1,1,1,1,12.011,0.18623756565317462
4,6,0,3,4,0,1,2,1,1,12.011,0.13325241278355243
5,8,0,1,4,0,0,0,0,1,15.999,-0.38498534394571815
6,6,0,3,4,0,1,1,1,1,12.011,0.11334314839311203
7,8,0,1,4,0,0,0,0,1,15.999,-0.38739495524835454
8,6,0,3,4,0,1,2,1,1,12.011,0.11109641054634938
9,8,0,1,4,0,0,0,0,1,15.999,-0.3874976331817879
10,6,0,3,4,0,1,1,1,1,12.011,0.11228808949242235
11,6,0,2,4,0,0,0,0,2,12.011,0.07213220226041495
12,8,0,1,4,0,0,0,0,1,15.999,-0.393566515099624
13,8,0,2,4,0,1,0,0,0,15.999,-0.34139729329165763
14,7,0,2,3,0,0,0,0,1,14.007,-0.3480887592587584
15,6,0,3,3,0,0,0,0,0,12.011,0.21989207283980322
16,6,0,2,4,0,0,0,0,2,12.011,0.02647655285181651
17,6,0,2,4,0,0,0,0,2,12.011,-0.044496077936315145
18,6,0,2,4,0,0,0,0,2,12.011,-0.052812493042959416
19,6,0,2,4,0,0,0,0,2,12.011,-0.05329166571213524
20,6,0,2,4,0,0,0,0,2,12.011,-0.05330576107435889
21,6,0,2,4,0,0,0,0,2,12.011,-0.05330597121778762
22,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278333657
23,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278911494
24,6,0,2,4,0,0,0,0,2,12.011,-0.05330597279436938
25,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466
26,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844
27,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505
28,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206
29,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945
30,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266
31,8,0,1,3,0,0,0,0,0,15.999,-0.27513200731473714
32,6,0,3,4,0,0,2,1,1,12.011,0.09450386661714953
33,8,0,1,4,0,0,0,0,1,15.999,-0.38679983461893175
34,6,0,2,3,0,0,0,0,1,12.011,-0.05804979926890837
35,6,0,2,3,0,0,0,0,1,12.011,-0.08559965840372157
36,6,0,2,4,0,0,0,0,2,12.011,-0.03149256452024768
37,6,0,2,4,0,0,0,0,2,12.011,-0.03133920790921962
38,6,0,2,3,0,0,0,0,1,12.011,-0.08530275518498322
39,6,0,3,3,0,0,0,0,0,12.011,-0.07730346706263622
40,6,0,1,4,0,0,0,0,3,12.011,-0.04393507941965198
41,6,0,2,4,0,0,0,0,2,12.011,-0.03230831558862428
42,6,0,2,4,0,0,0,0,2,12.011,-0.04956867555394438
43,6,0,2,4,0,0,0,0,2,12.011,-0.05300123307619171
44,6,0,2,4,0,0,0,0,2,12.011,-0.05329502778212664
45,6,0,2,4,0,0,0,0,2,12.011,-0.05331584589216264
46,6,0,2,4,0,0,0,0,2,12.011,-0.053568641249730285
47,6,0,2,4,0,0,0,0,2,12.011,-0.056171667057591225
48,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322278242
